Train epoch 1: top1%=0.00989999994635582, top2%=0.0197733324021101, top3%=0.02948666736483574, top4%=0.03888000175356865, top5%=0.04954666644334793, loss=0.01854593124071757, time=79.71943950653076s
Train epoch 2: top1%=0.02815333381295204, top2%=0.05195999890565872, top3%=0.0739133358001709, top4%=0.09344666451215744, top5%=0.11144000291824341, loss=0.01749842792193095, time=91.46696996688843s
Train epoch 3: top1%=0.03303999826312065, top2%=0.060973331332206726, top3%=0.08476000279188156, top4%=0.10724666714668274, top5%=0.12668666243553162, loss=0.017305912504196167, time=90.8443591594696s
Train epoch 4: top1%=0.03474666550755501, top2%=0.0639733299612999, top3%=0.0893133357167244, top4%=0.11196000128984451, top5%=0.13313333690166473, loss=0.017223577995300294, time=90.47709274291992s
Train epoch 5: top1%=0.036746665835380554, top2%=0.06533999741077423, top3%=0.09134666621685028, top4%=0.11377999931573868, top5%=0.13500666618347168, loss=0.01715457994778951, time=90.40579581260681s
Train epoch 6: top1%=0.037140000611543655, top2%=0.06709333509206772, top3%=0.0927533358335495, top4%=0.11597999930381775, top5%=0.13754667341709137, loss=0.017136486295064292, time=90.65922045707703s
Train epoch 7: top1%=0.04062666743993759, top2%=0.07041999697685242, top3%=0.09678000211715698, top4%=0.12028666585683823, top5%=0.14154000580310822, loss=0.017079946416219075, time=90.87159371376038s
Train epoch 8: top1%=0.040913332253694534, top2%=0.07252000272274017, top3%=0.10055333375930786, top4%=0.1252933293581009, top5%=0.14747999608516693, loss=0.01705230110168457, time=90.15780782699585s
Train epoch 9: top1%=0.04025999829173088, top2%=0.07218000292778015, top3%=0.09929333627223969, top4%=0.12376666814088821, top5%=0.14526666700839996, loss=0.016999046376546225, time=90.34476351737976s
Train epoch 10: top1%=0.04163999855518341, top2%=0.07415333390235901, top3%=0.10168666392564774, top4%=0.12608666718006134, top5%=0.14838667213916779, loss=0.016973949327468874, time=90.30847907066345s
Train epoch 11: top1%=0.043433334678411484, top2%=0.07664666324853897, top3%=0.10500666499137878, top4%=0.129913330078125, top5%=0.15301333367824554, loss=0.016936699781417847, time=90.57847809791565s
Train epoch 12: top1%=0.04569333419203758, top2%=0.08049999922513962, top3%=0.10961999744176865, top4%=0.1354866623878479, top5%=0.15878666937351227, loss=0.016889056517283122, time=90.67184257507324s
Train epoch 13: top1%=0.04562666639685631, top2%=0.07904666662216187, top3%=0.10834666341543198, top4%=0.13366666436195374, top5%=0.15714000165462494, loss=0.01685113952318827, time=90.9796724319458s
Train epoch 14: top1%=0.04793333262205124, top2%=0.0832066684961319, top3%=0.11333999782800674, top4%=0.13987332582473755, top5%=0.16346000134944916, loss=0.016797275301615396, time=90.4565749168396s
Train epoch 15: top1%=0.05048000067472458, top2%=0.08724666386842728, top3%=0.11833333224058151, top4%=0.14643333852291107, top5%=0.17149999737739563, loss=0.016731475747426353, time=90.67688298225403s
Train epoch 16: top1%=0.049959998577833176, top2%=0.08610666543245316, top3%=0.11615999788045883, top4%=0.14239999651908875, top5%=0.1661333292722702, loss=0.016702343126932778, time=90.43303036689758s
Train epoch 17: top1%=0.05133333429694176, top2%=0.08783333003520966, top3%=0.11816000193357468, top4%=0.14561332762241364, top5%=0.1706533282995224, loss=0.016719436362584432, time=90.63031458854675s
Train epoch 18: top1%=0.05318666622042656, top2%=0.08957333117723465, top3%=0.12236666679382324, top4%=0.1505800038576126, top5%=0.17546667158603668, loss=0.016710562613805133, time=90.87222170829773s
Train epoch 19: top1%=0.05100666731595993, top2%=0.08788666874170303, top3%=0.11852666735649109, top4%=0.146479994058609, top5%=0.17056000232696533, loss=0.016657091987927756, time=90.49036979675293s
Train epoch 20: top1%=0.05313999950885773, top2%=0.09119333326816559, top3%=0.12246000021696091, top4%=0.15026666224002838, top5%=0.17484000325202942, loss=0.016611756068865457, time=90.83339285850525s
Train epoch 21: top1%=0.0563933327794075, top2%=0.09532666951417923, top3%=0.12763333320617676, top4%=0.15581999719142914, top5%=0.181126669049263, loss=0.016576674704551698, time=90.8255045413971s
Train epoch 22: top1%=0.056619998067617416, top2%=0.09635999798774719, top3%=0.12904000282287598, top4%=0.15795333683490753, top5%=0.18384666740894318, loss=0.01650502487977346, time=91.06565427780151s
Train epoch 23: top1%=0.05545999854803085, top2%=0.09336666762828827, top3%=0.12454666942358017, top4%=0.1527266651391983, top5%=0.17803333699703217, loss=0.016550596397717793, time=90.62803149223328s
Train epoch 24: top1%=0.060733333230018616, top2%=0.10271333158016205, top3%=0.13657332956790924, top4%=0.16622667014598846, top5%=0.1923000067472458, loss=0.016524797150293986, time=90.90831875801086s
Train epoch 25: top1%=0.05915333330631256, top2%=0.10068666934967041, top3%=0.13428667187690735, top4%=0.16407999396324158, top5%=0.19041332602500916, loss=0.016493695821762085, time=90.80759048461914s
Train epoch 26: top1%=0.05764666572213173, top2%=0.09775999933481216, top3%=0.1317799985408783, top4%=0.1613733321428299, top5%=0.18698666989803314, loss=0.01649692178408305, time=90.8990089893341s
Train epoch 27: top1%=0.05829999968409538, top2%=0.09795333445072174, top3%=0.1308533400297165, top4%=0.1585933268070221, top5%=0.18385332822799683, loss=0.016467190308570863, time=90.84894394874573s
Train epoch 28: top1%=0.05787999927997589, top2%=0.09767333418130875, top3%=0.13006000220775604, top4%=0.15839333832263947, top5%=0.1838199943304062, loss=0.016417177791595457, time=90.56216049194336s
Train epoch 29: top1%=0.061500001698732376, top2%=0.10373333096504211, top3%=0.1376466602087021, top4%=0.16728000342845917, top5%=0.19358666241168976, loss=0.016429495021502177, time=91.19303297996521s
Train epoch 30: top1%=0.060973331332206726, top2%=0.10293333232402802, top3%=0.136846661567688, top4%=0.1657799929380417, top5%=0.19138666987419128, loss=0.016425446057319642, time=90.51843452453613s
Train epoch 31: top1%=0.06368666887283325, top2%=0.1066799983382225, top3%=0.14137999713420868, top4%=0.17069333791732788, top5%=0.19632667303085327, loss=0.01633897309621175, time=90.41657590866089s
Train epoch 32: top1%=0.06268666684627533, top2%=0.10491333156824112, top3%=0.1383800059556961, top4%=0.16740000247955322, top5%=0.1937066614627838, loss=0.01633214142958323, time=90.68899154663086s
Train epoch 33: top1%=0.06100666522979736, top2%=0.1019200012087822, top3%=0.13607999682426453, top4%=0.16502000391483307, top5%=0.19074666500091553, loss=0.016360633050600686, time=90.54228949546814s
Train epoch 34: top1%=0.06337333470582962, top2%=0.10593999922275543, top3%=0.14047999680042267, top4%=0.16981999576091766, top5%=0.19559332728385925, loss=0.016338351465861004, time=90.78920221328735s
Train epoch 35: top1%=0.06236666813492775, top2%=0.10413333028554916, top3%=0.13830000162124634, top4%=0.168013334274292, top5%=0.19483333826065063, loss=0.016339452257156373, time=90.99019622802734s
Train epoch 36: top1%=0.0638333335518837, top2%=0.10756666958332062, top3%=0.141226664185524, top4%=0.1705400049686432, top5%=0.19708000123500824, loss=0.016280267955462138, time=90.6416883468628s
Train epoch 37: top1%=0.061953332275152206, top2%=0.1039133295416832, top3%=0.13760000467300415, top4%=0.16636666655540466, top5%=0.19232666492462158, loss=0.01630160390218099, time=90.98747992515564s
Train epoch 38: top1%=0.06908666342496872, top2%=0.11294666677713394, top3%=0.14974667131900787, top4%=0.18137332797050476, top5%=0.20866666734218597, loss=0.016271455359458925, time=90.85735774040222s
Train epoch 39: top1%=0.06703999638557434, top2%=0.1110733300447464, top3%=0.14668667316436768, top4%=0.1767600029706955, top5%=0.20408666133880615, loss=0.016275176253318785, time=90.57909750938416s
Train epoch 40: top1%=0.06749333441257477, top2%=0.11098666489124298, top3%=0.14708666503429413, top4%=0.17644000053405762, top5%=0.2033066600561142, loss=0.016281797022819518, time=90.3861289024353s
Train epoch 41: top1%=0.07008666545152664, top2%=0.11536666750907898, top3%=0.15226000547409058, top4%=0.18330000340938568, top5%=0.2104266732931137, loss=0.016261188241640728, time=90.34353590011597s
Train epoch 42: top1%=0.06910666823387146, top2%=0.11488666385412216, top3%=0.15147332847118378, top4%=0.18303999304771423, top5%=0.21030665934085846, loss=0.016231974488894144, time=90.06849980354309s
Train epoch 43: top1%=0.06962666660547256, top2%=0.11525333672761917, top3%=0.15134666860103607, top4%=0.18214666843414307, top5%=0.20968666672706604, loss=0.01621164651075999, time=90.4119484424591s
Train epoch 44: top1%=0.06763333082199097, top2%=0.11180666834115982, top3%=0.1481066644191742, top4%=0.17890000343322754, top5%=0.20539332926273346, loss=0.016250515972773234, time=90.92167663574219s
Train epoch 45: top1%=0.06689999997615814, top2%=0.1114533320069313, top3%=0.14701999723911285, top4%=0.17754000425338745, top5%=0.2040800005197525, loss=0.016274216690063476, time=90.29963445663452s
Train epoch 46: top1%=0.06946666538715363, top2%=0.11471333354711533, top3%=0.1512400060892105, top4%=0.18233999609947205, top5%=0.2098200023174286, loss=0.016198012545903525, time=90.44100332260132s
Train epoch 47: top1%=0.06638000160455704, top2%=0.10983332991600037, top3%=0.14470000565052032, top4%=0.17389333248138428, top5%=0.20034000277519226, loss=0.016234880692164104, time=90.69938540458679s
Train epoch 48: top1%=0.06589999794960022, top2%=0.10812666267156601, top3%=0.14207999408245087, top4%=0.1714533269405365, top5%=0.19750666618347168, loss=0.016243215487798054, time=90.87270927429199s
Train epoch 49: top1%=0.06851333379745483, top2%=0.11457999795675278, top3%=0.1503666639328003, top4%=0.18024666607379913, top5%=0.20710666477680206, loss=0.016208058767318727, time=91.01963567733765s
Train epoch 50: top1%=0.06389333307743073, top2%=0.10623999685049057, top3%=0.1405533403158188, top4%=0.1702466607093811, top5%=0.1961199939250946, loss=0.016133924832344056, time=90.89812231063843s
Train epoch 51: top1%=0.07101999968290329, top2%=0.11654666811227798, top3%=0.15293332934379578, top4%=0.1839333325624466, top5%=0.21160000562667847, loss=0.016169632665316264, time=91.10826206207275s
Train epoch 52: top1%=0.07000666856765747, top2%=0.11539333313703537, top3%=0.15183332562446594, top4%=0.18279333412647247, top5%=0.2098066657781601, loss=0.016173233246803285, time=91.01864957809448s
Train epoch 53: top1%=0.07079333066940308, top2%=0.11653333157300949, top3%=0.15348666906356812, top4%=0.1844666600227356, top5%=0.2112399935722351, loss=0.01618606470266978, time=90.52319931983948s
Train epoch 54: top1%=0.0686199963092804, top2%=0.11183333396911621, top3%=0.14706666767597198, top4%=0.17791999876499176, top5%=0.20511333644390106, loss=0.01615518314520518, time=90.60344290733337s
Train epoch 55: top1%=0.07165999710559845, top2%=0.11816666275262833, top3%=0.15362666547298431, top4%=0.1844533383846283, top5%=0.21105332672595978, loss=0.01617013463815053, time=90.62160921096802s
Train epoch 56: top1%=0.06747999787330627, top2%=0.11123333126306534, top3%=0.1467466652393341, top4%=0.1772933304309845, top5%=0.20366667211055756, loss=0.016151199051539104, time=90.9278416633606s
Train epoch 57: top1%=0.07599999755620956, top2%=0.12353333085775375, top3%=0.1624400019645691, top4%=0.19458000361919403, top5%=0.22315333783626556, loss=0.01610019328435262, time=90.83557677268982s
Train epoch 58: top1%=0.06811333447694778, top2%=0.11159999668598175, top3%=0.1473933309316635, top4%=0.1776999980211258, top5%=0.20402666926383972, loss=0.016115470525423687, time=90.30917382240295s
Train epoch 59: top1%=0.07031333446502686, top2%=0.11548666656017303, top3%=0.15141333639621735, top4%=0.18138666450977325, top5%=0.20842666923999786, loss=0.01605852315425873, time=90.95644998550415s
Train epoch 60: top1%=0.07512666285037994, top2%=0.12144666910171509, top3%=0.15863333642482758, top4%=0.1904599964618683, top5%=0.21847333014011383, loss=0.016114814325968424, time=90.79685354232788s
Train epoch 61: top1%=0.07289333641529083, top2%=0.11940000206232071, top3%=0.15576666593551636, top4%=0.18679332733154297, top5%=0.21369999647140503, loss=0.01607214549700419, time=90.48892402648926s
Train epoch 62: top1%=0.07026666402816772, top2%=0.1152999997138977, top3%=0.1505800038576126, top4%=0.1810133308172226, top5%=0.20783333480358124, loss=0.01600932885805766, time=91.05840992927551s
Train epoch 63: top1%=0.07125332951545715, top2%=0.11636000126600266, top3%=0.15262000262737274, top4%=0.18306666612625122, top5%=0.21040000021457672, loss=0.016037259812355042, time=90.30987215042114s
Train epoch 64: top1%=0.06979333609342575, top2%=0.11460000276565552, top3%=0.14953333139419556, top4%=0.1791733354330063, top5%=0.20588000118732452, loss=0.01605904830932617, time=90.59422469139099s
Train epoch 65: top1%=0.07082666456699371, top2%=0.11575333029031754, top3%=0.15056000649929047, top4%=0.18131333589553833, top5%=0.20837999880313873, loss=0.016057173102696738, time=90.13376593589783s
Train epoch 66: top1%=0.07636666297912598, top2%=0.12437333166599274, top3%=0.16154000163078308, top4%=0.19354000687599182, top5%=0.22099334001541138, loss=0.016054990938504536, time=86.97238492965698s
Train epoch 67: top1%=0.07322666794061661, top2%=0.11940000206232071, top3%=0.15645332634449005, top4%=0.18663333356380463, top5%=0.21386666595935822, loss=0.016061252501805623, time=85.58219075202942s
Train epoch 68: top1%=0.07475999742746353, top2%=0.12200000137090683, top3%=0.15882666409015656, top4%=0.1899133324623108, top5%=0.216813325881958, loss=0.016053839144706726, time=85.66032481193542s
Train epoch 69: top1%=0.07215999811887741, top2%=0.11834666877985, top3%=0.15537333488464355, top4%=0.18627333641052246, top5%=0.21373333036899567, loss=0.016058142148653667, time=85.15302157402039s
