Train epoch 1: top1%=0.02860054187476635, top2%=0.05665760487318039, top3%=0.08471467345952988, top4%=0.11555705964565277, top5%=0.14144021272659302, loss=0.014658764668780824, time=55.3632116317749s
Train epoch 2: top1%=0.029891302809119225, top2%=0.0570652149617672, top3%=0.08512227982282639, top4%=0.10815216600894928, top5%=0.13485053181648254, loss=0.0143378846347332, time=53.29394793510437s
Train epoch 3: top1%=0.031046194955706596, top2%=0.062160324305295944, top3%=0.09225542843341827, top4%=0.1195652112364769, top5%=0.14911684393882751, loss=0.014273140887203424, time=53.412139892578125s
Train epoch 4: top1%=0.03322010859847069, top2%=0.06283967196941376, top3%=0.09307064861059189, top4%=0.12105977535247803, top5%=0.14945651590824127, loss=0.01425307137162789, time=53.300862550735474s
Train epoch 5: top1%=0.036548912525177, top2%=0.06861412525177002, top3%=0.10258151590824127, top4%=0.13362771272659302, top5%=0.16277173161506653, loss=0.014203666749855747, time=53.24690246582031s
Train epoch 6: top1%=0.04334238916635513, top2%=0.08478260785341263, top3%=0.12282608449459076, top4%=0.15706521272659302, top5%=0.19137227535247803, loss=0.014031446692736253, time=53.33144998550415s
Train epoch 7: top1%=0.05577445402741432, top2%=0.1039402112364769, top3%=0.1485733687877655, top4%=0.1918478161096573, top5%=0.2311820536851883, loss=0.013863224681952726, time=53.264973402023315s
Train epoch 8: top1%=0.06970108300447464, top2%=0.12601901590824127, top3%=0.17262227833271027, top4%=0.21487770974636078, top5%=0.25468748807907104, loss=0.013614177347525307, time=53.372724294662476s
Train epoch 9: top1%=0.07615488767623901, top2%=0.13777172565460205, top3%=0.18593749403953552, top4%=0.2289402037858963, top5%=0.27099183201789856, loss=0.01339790461503941, time=53.31006479263306s
Train epoch 10: top1%=0.08437499403953552, top2%=0.146195650100708, top3%=0.19877716898918152, top4%=0.24741846323013306, top5%=0.2889266312122345, loss=0.013271430717862171, time=53.39710068702698s
Train epoch 11: top1%=0.09830162674188614, top2%=0.16997282207012177, top3%=0.22540760040283203, top4%=0.27934780716896057, top5%=0.32445651292800903, loss=0.013034965891553008, time=53.4885835647583s
Train epoch 12: top1%=0.11263586580753326, top2%=0.19286683201789856, top3%=0.2601902186870575, top4%=0.30964672565460205, top5%=0.35665759444236755, loss=0.012933210785622182, time=53.28723335266113s
Train epoch 13: top1%=0.1194293424487114, top2%=0.1953124850988388, top3%=0.2565896511077881, top4%=0.30516302585601807, top5%=0.3490488827228546, loss=0.01243245397572932, time=53.191340923309326s
Train epoch 14: top1%=0.15781249105930328, top2%=0.24809782207012177, top3%=0.3160325884819031, top4%=0.3712635636329651, top5%=0.42126357555389404, loss=0.012202035538528276, time=53.361276388168335s
Train epoch 15: top1%=0.14966031908988953, top2%=0.23498640954494476, top3%=0.2991168200969696, top4%=0.352105975151062, top5%=0.3995923697948456, loss=0.012131501426515373, time=53.276962757110596s
Train epoch 16: top1%=0.17737771570682526, top2%=0.270652174949646, top3%=0.3394021689891815, top4%=0.3917798697948456, top5%=0.4387907385826111, loss=0.011827712765206461, time=53.169455766677856s
Train epoch 17: top1%=0.22296194732189178, top2%=0.31841030716896057, top3%=0.3867526948451996, top4%=0.4400135576725006, top5%=0.4835597574710846, loss=0.011021781858542691, time=53.20294237136841s
Train epoch 18: top1%=0.19551628828048706, top2%=0.27826085686683655, top3%=0.33906248211860657, top4%=0.38845106959342957, top5%=0.4303668141365051, loss=0.010982090299544127, time=53.1494345664978s
Train epoch 19: top1%=0.2646738886833191, top2%=0.3601222634315491, top3%=0.42085596919059753, top4%=0.4676630198955536, top5%=0.5065217018127441, loss=0.010270009554274704, time=53.3300256729126s
Train epoch 20: top1%=0.279823362827301, top2%=0.37296193838119507, top3%=0.43240487575531006, top4%=0.47703802585601807, top5%=0.516440212726593, loss=0.0099742092759065, time=53.492249727249146s
Train epoch 21: top1%=0.26222825050354004, top2%=0.3499320447444916, top3%=0.407336950302124, top4%=0.4556385576725006, top5%=0.4909646511077881, loss=0.00988780058434476, time=53.4150812625885s
Train epoch 22: top1%=0.3214673697948456, top2%=0.41637226939201355, top3%=0.4741847515106201, top4%=0.517866849899292, top5%=0.5529211759567261, loss=0.00975971963742505, time=53.358840227127075s
Train epoch 23: top1%=0.3656929135322571, top2%=0.4471467137336731, top3%=0.49728259444236755, top4%=0.536005437374115, top5%=0.5684782266616821, loss=0.008732941924877788, time=53.33579158782959s
Train epoch 24: top1%=0.4228940010070801, top2%=0.4965353012084961, top3%=0.5374320149421692, top4%=0.569972813129425, top5%=0.5986412763595581, loss=0.008007899218279383, time=53.45121431350708s
Train epoch 25: top1%=0.49544835090637207, top2%=0.5633831024169922, top3%=0.604619562625885, top4%=0.6377037763595581, top5%=0.6658287644386292, loss=0.008281376601561256, time=53.39854574203491s
Train epoch 26: top1%=0.4449048638343811, top2%=0.506385862827301, top3%=0.546331524848938, top4%=0.5743885636329651, top5%=0.597350537776947, loss=0.007415140800825928, time=53.22344493865967s
Train epoch 27: top1%=0.3455842137336731, top2%=0.4186820387840271, top3%=0.46657606959342957, top4%=0.5021059513092041, top5%=0.5349184274673462, loss=0.008430098985200344, time=53.45406150817871s
Train epoch 28: top1%=0.43451085686683655, top2%=0.5131793022155762, top3%=0.5603260397911072, top4%=0.5954483151435852, top5%=0.6244564652442932, loss=0.008115988633716884, time=53.17071723937988s
Train epoch 29: top1%=0.3377717137336731, top2%=0.4140624701976776, top3%=0.4610733389854431, top4%=0.49728259444236755, top5%=0.5299592018127441, loss=0.007852683026019646, time=53.22414565086365s
Train epoch 30: top1%=0.4888586699962616, top2%=0.5523777008056641, top3%=0.590964674949646, top4%=0.6209238767623901, top5%=0.643410325050354, loss=0.007214010093847046, time=53.33038353919983s
Train epoch 31: top1%=0.4193613827228546, top2%=0.47927987575531006, top3%=0.5218749642372131, top4%=0.554619550704956, top5%=0.5832200646400452, loss=0.007533438649514447, time=53.22405195236206s
Train epoch 32: top1%=0.43559780716896057, top2%=0.5040760636329651, top3%=0.5456521511077881, top4%=0.579755425453186, top5%=0.60767662525177, loss=0.007529619473802007, time=53.31849646568298s
Train epoch 33: top1%=0.4807744324207306, top2%=0.5400135517120361, top3%=0.5795515775680542, top4%=0.6088994145393372, top5%=0.6339673399925232, loss=0.007026785774075467, time=53.34995436668396s
Train epoch 34: top1%=0.4366847574710846, top2%=0.4977581202983856, top3%=0.5411005020141602, top4%=0.573913037776947, top5%=0.6019021272659302, loss=0.007455268502235412, time=53.42889857292175s
Train epoch 35: top1%=0.4463315010070801, top2%=0.5151494145393372, top3%=0.558016300201416, top4%=0.5930706262588501, top5%=0.6226222515106201, loss=0.007584622044764135, time=53.322603702545166s
Train epoch 36: top1%=0.4675271511077881, top2%=0.5207880139350891, top3%=0.5572689771652222, top4%=0.5868885517120361, top5%=0.6120244264602661, loss=0.006734410815102899, time=53.224836111068726s
