Train epoch 1: top1%=0.0987199991941452, top2%=0.19844000041484833, top3%=0.30115997791290283, top4%=0.3944399952888489, top5%=0.4970399737358093, loss=0.009464336557388306, time=34.0516312122345s
Train epoch 2: top1%=0.12336000055074692, top2%=0.23867999017238617, top3%=0.34355998039245605, top4%=0.4503600001335144, top5%=0.5466799736022949, loss=0.008967356548309326, time=30.717434883117676s
Train epoch 3: top1%=0.14239999651908875, top2%=0.2709999978542328, top3%=0.3801199793815613, top4%=0.4843199849128723, top5%=0.5879600048065186, loss=0.00881346263885498, time=30.594674587249756s
Train epoch 4: top1%=0.1536799967288971, top2%=0.28731998801231384, top3%=0.40507999062538147, top4%=0.5147199630737305, top5%=0.6177200078964233, loss=0.008703943872451781, time=30.25738286972046s
Train epoch 5: top1%=0.16951999068260193, top2%=0.30903998017311096, top3%=0.4353199899196625, top4%=0.5415199995040894, top5%=0.6379199624061584, loss=0.008591175622940064, time=30.34169912338257s
Train epoch 6: top1%=0.1775600016117096, top2%=0.31779998540878296, top3%=0.4398399889469147, top4%=0.5458399653434753, top5%=0.6426799893379211, loss=0.00842202314376831, time=30.622041940689087s
Train epoch 7: top1%=0.18727999925613403, top2%=0.3343999981880188, top3%=0.45659998059272766, top4%=0.5620799660682678, top5%=0.6602399945259094, loss=0.00838603443145752, time=30.445863485336304s
Train epoch 8: top1%=0.2179199904203415, top2%=0.3734399974346161, top3%=0.49611997604370117, top4%=0.6034799814224243, top5%=0.692359983921051, loss=0.008219895453453065, time=30.428380727767944s
Train epoch 9: top1%=0.22067999839782715, top2%=0.3739199936389923, top3%=0.49691998958587646, top4%=0.5995199680328369, top5%=0.6926400065422058, loss=0.00810782555103302, time=30.538689851760864s
Train epoch 10: top1%=0.21111999452114105, top2%=0.361519992351532, top3%=0.4816799759864807, top4%=0.5827599763870239, top5%=0.674519956111908, loss=0.007950406169891358, time=30.630427598953247s
Train epoch 11: top1%=0.22859999537467957, top2%=0.3840799927711487, top3%=0.5000399947166443, top4%=0.6025199890136719, top5%=0.693399965763092, loss=0.007867990908622741, time=30.19838786125183s
Train epoch 12: top1%=0.22871999442577362, top2%=0.3834799826145172, top3%=0.5062400102615356, top4%=0.6062399744987488, top5%=0.6990399956703186, loss=0.007844955883026123, time=30.099740505218506s
Train epoch 13: top1%=0.25755998492240906, top2%=0.4195599853992462, top3%=0.5414400100708008, top4%=0.6437599658966064, top5%=0.7282800078392029, loss=0.00779905207157135, time=30.04810667037964s
Train epoch 14: top1%=0.24395999312400818, top2%=0.4057599902153015, top3%=0.5247600078582764, top4%=0.6268399953842163, top5%=0.7106800079345703, loss=0.007794006543159485, time=30.052995681762695s
Train epoch 15: top1%=0.2505199909210205, top2%=0.40751999616622925, top3%=0.5299199819564819, top4%=0.6304399967193604, top5%=0.7127999663352966, loss=0.007741757392883301, time=30.399556875228882s
Train epoch 16: top1%=0.2600399851799011, top2%=0.4219200015068054, top3%=0.5434799790382385, top4%=0.642520010471344, top5%=0.7232399582862854, loss=0.007699579701423645, time=30.555845737457275s
Train epoch 17: top1%=0.2655999958515167, top2%=0.42671999335289, top3%=0.5473999977111816, top4%=0.645639955997467, top5%=0.7275999784469604, loss=0.007637646322250366, time=30.12781596183777s
Train epoch 18: top1%=0.2707200050354004, top2%=0.42927998304367065, top3%=0.5472800135612488, top4%=0.6448799967765808, top5%=0.7290799617767334, loss=0.007570683755874634, time=30.2868595123291s
Train epoch 19: top1%=0.27135998010635376, top2%=0.43004000186920166, top3%=0.5501599907875061, top4%=0.6516000032424927, top5%=0.7328799962997437, loss=0.007610355658531189, time=30.442548751831055s
Train epoch 20: top1%=0.2699599862098694, top2%=0.43140000104904175, top3%=0.5532400012016296, top4%=0.6534000039100647, top5%=0.7342000007629395, loss=0.007658546304702759, time=30.488300800323486s
Train epoch 21: top1%=0.3007200062274933, top2%=0.4713999927043915, top3%=0.5919199585914612, top4%=0.6872000098228455, top5%=0.7644799947738647, loss=0.0074944662809371945, time=30.642587661743164s
Train epoch 22: top1%=0.2744399905204773, top2%=0.43615999817848206, top3%=0.5582799911499023, top4%=0.6588799953460693, top5%=0.7371599674224854, loss=0.007518988056182861, time=30.753548622131348s
Train epoch 23: top1%=0.29343998432159424, top2%=0.4541599750518799, top3%=0.5703999996185303, top4%=0.667199969291687, top5%=0.7446399927139282, loss=0.007401560592651367, time=30.764041423797607s
Train epoch 24: top1%=0.28939998149871826, top2%=0.4551199972629547, top3%=0.5738799571990967, top4%=0.6700400114059448, top5%=0.7495200037956238, loss=0.007429429087638855, time=30.40471315383911s
