Train epoch 1: top1%=0.09532000124454498, top2%=0.19219999015331268, top3%=0.29151999950408936, top4%=0.3914400041103363, top5%=0.4952399730682373, loss=0.009345841703414917, time=87.85395121574402s
Train epoch 2: top1%=0.1411599963903427, top2%=0.26927998661994934, top3%=0.38155999779701233, top4%=0.48767998814582825, top5%=0.5850799679756165, loss=0.008874899282455445, time=87.81200528144836s
Train epoch 3: top1%=0.1664000004529953, top2%=0.3020399808883667, top3%=0.4217199981212616, top4%=0.5284799933433533, top5%=0.6261599659919739, loss=0.008622516031265258, time=87.71932864189148s
Train epoch 4: top1%=0.18055999279022217, top2%=0.31915998458862305, top3%=0.4443199932575226, top4%=0.5506799817085266, top5%=0.6473999619483948, loss=0.008460826320648193, time=88.30464720726013s
Train epoch 5: top1%=0.1902799904346466, top2%=0.33215999603271484, top3%=0.45151999592781067, top4%=0.5587199926376343, top5%=0.6538000106811523, loss=0.008340486826896667, time=88.35099768638611s
Train epoch 6: top1%=0.21671999990940094, top2%=0.3677999973297119, top3%=0.4954800009727478, top4%=0.600879967212677, top5%=0.6919199824333191, loss=0.00810160789489746, time=88.05343127250671s
Train epoch 7: top1%=0.2218399941921234, top2%=0.37647998332977295, top3%=0.5010799765586853, top4%=0.603879988193512, top5%=0.6924799680709839, loss=0.008041465554237365, time=87.98611044883728s
Train epoch 8: top1%=0.24463999271392822, top2%=0.40039998292922974, top3%=0.52183997631073, top4%=0.6260799765586853, top5%=0.7119999527931213, loss=0.007946246347427369, time=87.93942332267761s
Train epoch 9: top1%=0.252920001745224, top2%=0.417959988117218, top3%=0.5405600070953369, top4%=0.6403999924659729, top5%=0.7280799746513367, loss=0.007919004759788514, time=88.07648420333862s
Train epoch 10: top1%=0.24767999351024628, top2%=0.4143199920654297, top3%=0.538599967956543, top4%=0.6421200037002563, top5%=0.728119969367981, loss=0.007937512097358703, time=88.11924624443054s
Train epoch 11: top1%=0.24055999517440796, top2%=0.3933199942111969, top3%=0.513759970664978, top4%=0.6156399846076965, top5%=0.7014399766921997, loss=0.007792613697052002, time=87.81408548355103s
Train epoch 12: top1%=0.2503199875354767, top2%=0.40831997990608215, top3%=0.5293999910354614, top4%=0.6313999891281128, top5%=0.7165200114250183, loss=0.0077777913618087766, time=88.42718577384949s
