Train epoch 1: top1%=0.09783999621868134, top2%=0.19623999297618866, top3%=0.29791998863220215, top4%=0.40143999457359314, top5%=0.50764000415802, loss=0.009402524461746217, time=111.03709244728088s
Train epoch 2: top1%=0.49003997445106506, top2%=0.633080005645752, top3%=0.7126399874687195, top4%=0.7709999680519104, top5%=0.8213199973106384, loss=0.005419344007968903, time=109.10569334030151s
Train epoch 3: top1%=0.5159199833869934, top2%=0.6584399938583374, top3%=0.7325199842453003, top4%=0.7866399884223938, top5%=0.8319999575614929, loss=0.004502667117118836, time=109.18540740013123s
Train epoch 4: top1%=0.5901199579238892, top2%=0.7272399663925171, top3%=0.7913599610328674, top4%=0.8356800079345703, top5%=0.874239981174469, loss=0.004519334452152252, time=109.71421790122986s
Train epoch 5: top1%=0.5382400155067444, top2%=0.6981599926948547, top3%=0.7692399621009827, top4%=0.8206799626350403, top5%=0.8623999953269958, loss=0.00469200368642807, time=109.29692912101746s
Train epoch 6: top1%=0.6279999613761902, top2%=0.7697199583053589, top3%=0.8302800059318542, top4%=0.8710799813270569, top5%=0.9035999774932861, loss=0.004804450535774231, time=109.32178735733032s
Train epoch 7: top1%=0.5332800149917603, top2%=0.6783199906349182, top3%=0.7527199983596802, top4%=0.806879997253418, top5%=0.8501999974250793, loss=0.004335680749416352, time=109.50440549850464s
Train epoch 8: top1%=0.5344799757003784, top2%=0.7054399847984314, top3%=0.785319983959198, top4%=0.8373199701309204, top5%=0.8783599734306335, loss=0.004722212815284729, time=109.54300832748413s
Train epoch 9: top1%=0.4819999933242798, top2%=0.6669600009918213, top3%=0.7526400089263916, top4%=0.8121599555015564, top5%=0.8568399548530579, loss=0.004570708909034729, time=109.57767701148987s
Train epoch 10: top1%=0.5791999697685242, top2%=0.7482399940490723, top3%=0.8172399997711182, top4%=0.8632400035858154, top5%=0.8976799845695496, loss=0.004522493245601654, time=109.50854921340942s
Train epoch 11: top1%=0.583359956741333, top2%=0.7386400103569031, top3%=0.8063199520111084, top4%=0.8527599573135376, top5%=0.8875199556350708, loss=0.004412158076763153, time=109.46667766571045s
Train epoch 12: top1%=0.5591199994087219, top2%=0.7290399670600891, top3%=0.8039999604225159, top4%=0.8519600033760071, top5%=0.8891199827194214, loss=0.004543915977478027, time=109.45689606666565s
Train epoch 13: top1%=0.47435998916625977, top2%=0.6714000105857849, top3%=0.7567200064659119, top4%=0.814799964427948, top5%=0.8608399629592896, loss=0.0044336426162719725, time=109.50422930717468s
Train epoch 14: top1%=0.5051199793815613, top2%=0.6906399726867676, top3%=0.7709199786186218, top4%=0.8249599933624268, top5%=0.8657999634742737, loss=0.004479855117797852, time=109.67436170578003s
