Train epoch 1: top1%=0.3407749831676483, top2%=0.5504999756813049, top3%=0.6839500069618225, top4%=0.7788249850273132, top5%=0.8490999937057495, loss=0.05574927237331867, time=51.84729075431824s
Train epoch 2: top1%=0.43982499837875366, top2%=0.6577749848365784, top3%=0.7796249985694885, top4%=0.8559249639511108, top5%=0.9085249900817871, loss=0.04791062335819006, time=51.2810435295105s
Train epoch 3: top1%=0.4772000014781952, top2%=0.6942249536514282, top3%=0.8066250085830688, top4%=0.8779499530792236, top5%=0.9238999485969543, loss=0.04487249160259962, time=51.199644565582275s
Train epoch 4: top1%=0.5050749778747559, top2%=0.715874969959259, top3%=0.8242250084877014, top4%=0.8902750015258789, top5%=0.9330499768257141, loss=0.042668412594497204, time=51.192797899246216s
Train epoch 5: top1%=0.5252749919891357, top2%=0.7360999584197998, top3%=0.8365749716758728, top4%=0.8988499641418457, top5%=0.9389749765396118, loss=0.04091630333065987, time=51.201791286468506s
Train epoch 6: top1%=0.5465499758720398, top2%=0.7530750036239624, top3%=0.8505249619483948, top4%=0.9087499976158142, top5%=0.9468500018119812, loss=0.039298636361956595, time=51.18780279159546s
Train epoch 7: top1%=0.5616999864578247, top2%=0.7646249532699585, top3%=0.858549952507019, top4%=0.9149499535560608, top5%=0.9493499994277954, loss=0.038052760623395444, time=51.19984221458435s
Train epoch 8: top1%=0.5762499570846558, top2%=0.7756249904632568, top3%=0.8684999942779541, top4%=0.9215250015258789, top5%=0.9548249840736389, loss=0.03665739040225744, time=51.204204082489014s
Train epoch 9: top1%=0.5931749939918518, top2%=0.7895249724388123, top3%=0.8761499524116516, top4%=0.9272499680519104, top5%=0.9567499756813049, loss=0.03549228359758854, time=50.82834053039551s
Train epoch 10: top1%=0.6056749820709229, top2%=0.7998249530792236, top3%=0.8848499655723572, top4%=0.9321749806404114, top5%=0.9608749747276306, loss=0.03425133948922157, time=51.19834637641907s
Train epoch 11: top1%=0.6181249618530273, top2%=0.8090499639511108, top3%=0.8892749547958374, top4%=0.9362750053405762, top5%=0.9635749459266663, loss=0.03322379977852106, time=51.1894633769989s
Train epoch 12: top1%=0.6299999952316284, top2%=0.816474974155426, top3%=0.8958500027656555, top4%=0.9402749538421631, top5%=0.9667249917984009, loss=0.0321838157363236, time=51.20504832267761s
Train epoch 13: top1%=0.6409499645233154, top2%=0.8246999979019165, top3%=0.901699960231781, top4%=0.9437749981880188, top5%=0.9687999486923218, loss=0.03143546571880579, time=51.197068214416504s
Train epoch 14: top1%=0.6471999883651733, top2%=0.8280499577522278, top3%=0.9034249782562256, top4%=0.9450749754905701, top5%=0.9689499735832214, loss=0.03080249896273017, time=51.19530534744263s
Train epoch 15: top1%=0.6592499613761902, top2%=0.8351500034332275, top3%=0.9079499840736389, top4%=0.9473499655723572, top5%=0.9714499711990356, loss=0.029827001745253802, time=51.20452904701233s
Train epoch 16: top1%=0.6656249761581421, top2%=0.8412749767303467, top3%=0.9122499823570251, top4%=0.9528499841690063, top5%=0.9741500020027161, loss=0.029099208741635085, time=51.18799829483032s
Train epoch 17: top1%=0.6705999970436096, top2%=0.8442749977111816, top3%=0.9129999876022339, top4%=0.9520750045776367, top5%=0.9745499491691589, loss=0.028863404908031225, time=51.10950183868408s
